"Date","Flow"
"2001-01-01",0.174
"2001-01-02",0.1805
"2001-01-03",0.1802
"2001-01-04",0.1615
"2001-01-05",0.1659
"2001-01-06",0.1611
"2001-01-07",0.148
"2001-01-08",0.148
"2001-01-09",0.148
"2001-01-10",0.149
"2001-01-11",0.148
"2001-01-12",0.144
"2001-01-13",0.1437
"2001-01-14",0.1475
"2001-01-15",0.1659
"2001-01-16",0.1602
"2001-01-17",0.148
"2001-01-18",0.1305
"2001-01-19",0.122
"2001-01-20",0.122
"2001-01-21",0.122
"2001-01-22",0.1363
"2001-01-23",0.1328
"2001-01-24",0.122
"2001-01-25",0.122
"2001-01-26",0.122
"2001-01-27",0.122
"2001-01-28",0.122
"2001-01-29",0.1402
"2001-01-30",0.1352
"2001-01-31",0.122
"2001-02-01",0.122
"2001-02-02",0.122
"2001-02-03",0.122
"2001-02-04",0.122
"2001-02-05",0.122
"2001-02-06",0.122
"2001-02-07",0.122
"2001-02-08",0.1064
"2001-02-09",0.096
"2001-02-10",0.096
"2001-02-11",0.096
"2001-02-12",0.096
"2001-02-13",0.096
"2001-02-14",0.1733
"2001-02-15",0.2319
"2001-02-16",0.174
"2001-02-17",0.165
"2001-02-18",0.148
"2001-02-19",0.1465
"2001-02-20",0.122
"2001-02-21",0.122
"2001-02-22",0.122
"2001-02-23",0.122
"2001-02-24",0.122
"2001-02-25",0.122
"2001-02-26",0.122
"2001-02-27",0.122
"2001-02-28",0.1125
"2001-03-01",0.1125
"2001-03-02",0.1169
"2001-03-03",0.122
"2001-03-04",0.122
"2001-03-05",0.122
"2001-03-06",0.122
"2001-03-07",0.122
"2001-03-08",0.1424
"2001-03-09",0.1694
"2001-03-10",0.1364
"2001-03-11",0.122
"2001-03-12",0.122
"2001-03-13",0.122
"2001-03-14",0.122
"2001-03-15",0.122
"2001-03-16",0.122
"2001-03-17",0.122
"2001-03-18",0.122
"2001-03-19",0.122
"2001-03-20",0.1102
"2001-03-21",0.096
"2001-03-22",0.096
"2001-03-23",0.096
"2001-03-24",0.096
"2001-03-25",0.096
"2001-03-26",0.096
"2001-03-27",0.096
"2001-03-28",0.096
"2001-03-29",0.0944
"2001-03-30",0.0895
"2001-03-31",0.0884
"2001-04-01",0.0855
"2001-04-02",0.0844
"2001-04-03",0.0856
"2001-04-04",0.0839
